Imperium,Crime,14516,6.5,2016
Neruda,Biography,812,7.3,2016
Masterminds,Action,3254,5.8,2016
Nine Lives,Comedy,5010,5.0,2016
The Nice Guys,Action,116011,7.4,2016
Swiss Army Man,Adventure,32284,7.2,2016
Central Intelligence,Action,66143,6.4,2016
The Siege of Jadotville,Action,6428,7.4,2016
The Shallows,Drama,54247,6.4,2016
The Jungle Book,Adventure,151342,7.6,2016
Blood Father,Action,25837,6.5,2016
The Secret Life of Pets,Animation,63437,6.7,2016
Storks,Animation,5798,7.0,2016
The Neon Demon,Horror,29895,6.4,2016
Tokyo Zance,Comedy,5,5.4,2001
Snowden,Biography,12257,7.4,2016
The Purge: Election Year,Action,38837,6.0,2016
Bleed for This,Biography,382,6.5,2016
Now You See Me 2,Action,112664,6.5,2016
Free State of Jones,Action,16935,6.9,2016
Bridget Jones's Baby,Comedy,16892,7.3,2016
Max Steel,Action,897,4.9,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,45213,6.1,2016
Mascots,Comedy,3147,5.9,2016
Ah-ga-ssi,Drama,7135,8.1,2016
Ice Age: Collision Course,Animation,21966,5.7,2016
13 Hours,Action,59515,7.3,2016
La La Land,Comedy,1473,8.6,2016
I'm Not Ashamed,Biography,345,6.1,2016
The Edge of Seventeen,Comedy,305,7.7,2016
Jason Bourne,Action,87772,6.8,2016
American Honey,Drama,2493,7.5,2016
Mechanic: Resurrection,Action,18817,5.7,2016
Busanhaeng,Action,22742,7.6,2016
Grimsby,Action,50897,6.2,2016
Hell or High Water,Crime,15385,8.2,2016
10 Cloverfield Lane,Drama,149415,7.3,2016
The Finest Hours,Action,34666,6.8,2016
